,Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
0,Running,2023-07-25 08:20,2023-07-25 09:06,00:46:33,774.0,705,174,157.22,6.65,8.57,6958,2.49,,,,,
1,Running,2023-07-25 08:20,2023-07-25 09:06,00:46:33,705.0,636,174,157.22,6.65,8.57,6958,2.49,,,,319.29,311.32
2,Cycling,2023-07-24 17:46,2023-07-24 19:11,01:25:01,809.48,685,144,126.05,0.0,0.0,311,0.061,,,,,
3,Cycling,2023-07-24 17:46,2023-07-24 19:11,01:25:01,982.48,858,144,126.05,0.0,0.0,311,0.061,,,,,
4,Swimming,2023-07-24 09:36,2023-07-24 10:09,00:32:23,1106.0,401,147,126.81,2000.0,2.11,157,0.081,,,,,
5,Swimming,2023-07-24 09:36,2023-07-24 10:08,00:31:56,401.0,354,147,126.81,2000.0,2.13,157,0.082,,,,,
6,Running,2023-07-23 08:30,2023-07-23 09:46,01:15:31,966.18,874,162,139.34,9.09,7.22,11251,2.48,,,,119.0,109.35
7,Running,2023-07-23 08:30,2023-07-23 09:46,01:15:31,1078.0,986,162,139.34,9.09,7.22,11251,2.48,,,,,
8,Running,2023-07-22 11:19,2023-07-22 11:49,00:29:36,487.0,443,166,152.6,4.01,8.12,3858,2.17,,,,,
9,Running,2023-07-22 11:19,2023-07-22 11:49,00:29:36,443.0,399,166,152.6,4.01,8.12,3858,2.17,,,,27.99,23.52
10,Cycling,2023-07-22 09:10,2023-07-22 11:08,01:58:39,1416.0,1251,148,123.44,41.26,20.87,2747,0.386,,,4.0,,
11,Cycling,2023-07-22 09:10,2023-07-22 11:07,01:57:51,1234.0,1077,148,123.43,36.27,18.46,2747,0.388,,,4.0,424.28,406.4
12,Cycling,2023-07-21 19:06,2023-07-21 19:39,00:32:29,518.02,123,85,78.56,5.01,9.26,554,0.284,,,1.0,,
13,Cycling,2023-07-21 19:06,2023-07-21 19:39,00:32:20,81.92,33,85,78.56,5.01,9.3,554,0.285,,,1.0,59.68,49.93
14,Swimming,2023-07-21 10:41,2023-07-21 11:10,00:28:47,1047.0,360,158,127.53,1800.0,2.13,121,0.07,,,,,
15,Swimming,2023-07-21 10:41,2023-07-21 11:10,00:28:30,360.0,318,158,127.53,1800.0,2.15,121,0.071,,,,,
16,Running,2023-07-20 09:00,2023-07-20 09:40,00:40:06,547.0,442,154,144.1,5.08,7.6,4924,2.05,,,,220.28,233.3
17,Running,2023-07-20 09:00,2023-07-20 09:40,00:40:07,1889.0,547,154,144.1,5.08,7.6,4924,2.05,,,,,
18,Swimming,2023-07-19 12:36,2023-07-19 13:08,00:31:26,1361.0,400,154,136.44,2000.0,2.17,214,0.113,,,,,
19,Swimming,2023-07-19 12:36,2023-07-19 13:07,00:31:01,400.0,354,154,137.73,2000.0,2.2,214,0.115,,,,,
20,Cycling,2023-07-19 10:35,2023-07-19 11:25,00:50:03,618.07,537,166,132.12,0.0,0.0,757,0.252,,,,,
21,Cycling,2023-07-19 10:35,2023-07-19 11:25,00:50:04,768.13,611,166,132.12,0.0,0.0,757,0.252,,,,,
22,Running,2023-07-18 15:05,2023-07-18 15:25,00:20:01,135.0,105,115,112.7,1.34,4.03,2080,1.73,,,,15.45,12.17
23,Running,2023-07-18 15:05,2023-07-18 15:25,00:20:01,165.0,135,115,112.7,1.34,4.03,2080,1.73,,,,,
24,Running,2023-07-18 08:04,2023-07-18 08:55,00:50:58,1378.0,759,174,156.0,7.08,8.33,7718,2.52,,,,,
25,Running,2023-07-18 08:04,2023-07-18 08:55,00:50:56,759.0,684,174,156.0,7.08,8.33,7718,2.52,,,,341.24,332.87
26,Cycling,2023-07-17 17:46,2023-07-17 19:01,01:15:04,1458.0,943,158,138.59,0.0,0.0,554,0.123,,,,,
27,Cycling,2023-07-17 17:46,2023-07-17 19:01,01:15:03,895.61,791,158,138.59,0.0,0.0,554,0.123,,,,,
28,Swimming,2023-07-17 09:20,2023-07-17 09:48,00:27:58,1050.0,320,134,126.21,1750.0,2.13,226,0.135,,,,,
29,Swimming,2023-07-17 09:20,2023-07-17 09:48,00:27:29,320.0,279,134,126.21,1750.0,2.17,226,0.137,,,,,
30,Swimming,2023-07-16 15:03,2023-07-16 15:20,00:16:34,863.94,202,144,134.0,1057.0,2.17,194,0.195,,,,,
31,Swimming,2023-07-16 15:03,2023-07-16 15:18,00:15:02,202.0,180,144,135.37,1057.0,2.4,194,0.215,,,,,
32,Running,2023-07-16 09:09,2023-07-16 10:18,01:09:11,915.01,823,169,146.43,8.25,7.16,11801,2.84,,,,102.13,101.8
33,Running,2023-07-16 09:09,2023-07-16 10:19,01:09:12,1353.0,925,169,146.43,8.25,7.16,11801,2.84,,,,,
34,Cycling,2023-07-15 13:45,2023-07-15 14:32,00:47:45,462.7,365,129,115.96,0.0,0.0,114,0.04,,,,,
35,Cycling,2023-07-15 13:45,2023-07-15 14:34,00:49:35,1294.0,436,129,116.0,0.0,0.0,114,0.038,,,,,
36,Cycling,2023-07-15 09:37,2023-07-15 09:52,00:14:12,123.0,68,119,105.0,3.72,15.71,240,0.282,,,,12.5,32.87
37,Cycling,2023-07-15 09:37,2023-07-15 09:52,00:14:13,515.31,123,119,105.0,3.72,15.69,240,0.281,,,,,
38,Swimming,2023-07-14 11:10,2023-07-14 11:34,00:23:23,1453.0,320,152,138.42,1600.0,2.33,787,0.561,,,,,
39,Swimming,2023-07-14 11:10,2023-07-14 11:33,00:23:18,320.0,286,152,138.09,1600.0,2.34,787,0.563,,,,,
40,Running,2023-07-13 09:08,2023-07-13 09:50,00:42:30,708.0,645,181,160.24,5.84,8.24,6851,2.69,,,,,
41,Running,2023-07-13 09:08,2023-07-13 09:50,00:42:30,645.0,582,181,160.24,5.84,8.24,6851,2.69,,,,260.1,260.43
42,Swimming,2023-07-12 12:30,2023-07-12 13:05,00:34:20,1364.0,400,169,140.41,2000.0,1.99,262,0.127,,,,,
43,Swimming,2023-07-12 12:30,2023-07-12 13:04,00:34:15,400.0,349,169,140.41,2000.0,1.99,262,0.127,,,,,
44,Cycling,2023-07-12 09:44,2023-07-12 10:59,01:15:01,859.07,737,141,123.62,0.0,0.0,261,0.058,,,,,
45,Cycling,2023-07-12 09:44,2023-07-12 10:59,01:15:01,748.07,626,141,123.62,0.0,0.0,261,0.058,,,,,
46,Running,2023-07-11 07:51,2023-07-11 08:16,00:25:13,385.0,348,155,139.31,3.28,7.8,3209,2.12,,,,,
47,Running,2023-07-11 07:51,2023-07-11 08:16,00:25:13,348.0,311,155,139.31,3.28,7.8,3209,2.12,,,,201.51,208.2
